specialization, responsibilities, requirements, terms, skills, notes
Арматурщик,"Вырезка, сгибание и изготовление арматурных элементов для армирования бетонных конструкций, монтаж арматуры","Опыт работы от 2 лет, знание технологии изготовления и монтажа арматуры","Оклад + премии, социальный пакет","Умение читать чертежи, знание сварочных работ","Работа на строительных площадках, в нескольких локациях в городе."
Арматурщик,Гнутье арматурной стали на механических станках при количестве отгибов на одном стержне более четырех. Сборка и установка сеток и плоских...,,,,
Инженер-строитель,Осуществление технического контроля на объектах строительства. Разработка и согласование проектной документации. Взаимодействие с заказчиками и контроль за выполнением графиков и сроков проектирования.,,,,
Арматурщик,Сгибание металлических конструкций на специализированных изгибающих машинах. Сварка и монтаж конструкций из арматурной стали на строительных объектах в соответствии с чертежами. Контроль качества выполненных работ.,,,,
Арматурщик,"Вязка арматурных сеток, нарезка и укладка арматуры, работа с гибкой машиной.","Опыт работы от 1 года, знание чертежей и технических условий, организованность, ответственность, умение работать в команде.","График работы 5/2, с 8:00 до 17:00. Оформление по ТК РФ, социальный пакет.","Знание металлоконструкций, умение работать с инструментами и оборудованием.",Работа на строительных площадках. Очистных сооружениях.
Прораб,"Организация и контроль выполнения строительных работ, координация деятельности бригады рабочих, контроль качества выполненных работ.","Опыт работы прорабом на строительных объектах от 3 лет, знание профессиональных стандартов и строительных технологий, умение организовывать работу бригады рабочих.","График работы 5/2, с 8:00 до 17:00. Оформление по ТК РФ, социальный пакет.","Умение работать с персоналом, знание технологий и материалов строительства, планирование и организация работы на объекте.",Работа на строительных площадках. Очистных сооружениях.
Сантехник,"Установка и ремонт сантехнических систем, обслуживание отопительных систем, монтаж систем вентиляции и кондиционирования.","Опыт работы от 2 лет, знание сантехнических норм и правил, умение работать с инструментами и оборудованием.","График работы 5/2, с 9:00 до 18:00. Оформление по ТК РФ, социальный пакет.","Умение читать чертежи и схемы, понимание принципов работы сантехнических систем, знание материалов и оборудования.",Работа на строительных площадках. Очистных сооружениях.
Арматурщик,Гнутье арматурной стали на механических станках при количестве отгибов на одном стержне более четырех. Сборка и установка сеток и плоских...,,,,
Инженер по дорожному строительству,Разработка проектной документации для строительства дорог. Контроль качества выполнения работ на стройплощадке. Планирование и распределение ресурсов...,Опыт работы в дорожном строительстве от 3 лет. Знание нормативной документации в области дорожного строительства. Наличие высшего образования в области строительства.,Официальное трудоустройство. График работы 5/2. Оплачиваемый отпуск и больничный. Стабильная зарплата.,"Умение работать с Autocad, MS Project. Коммуникабельность, организаторские навыки, умение работать в команде.",Кандидаты должны иметь национальную квалификационную сертификацию в области дорожного строительства.
Архитектор,Проектирование и разработка архитектурных решений для зданий и сооружений. Разработка эскизов и чертежей. Взаимодействие с заказчиками...,Высшее образование в области архитектуры. Опыт работы от 5 лет. Знание нормативной документации и технических регламентов в области строительства.,Договорная зарплата. График работы 5/2. Оплачиваемый отпуск и больничный. Работа в модернистском офисе в центре города.,"Умение работать с AutoCAD, ArchiCAD. Знание принципов и методов архитектурного проектирования. Аналитические и проблемно-ориентированные навыки.",Кандидаты должны иметь национальную квалификационную сертификацию в области архитектуры и готовы к работе в сжатых сроках.
Арматурщик,Вязка арматуры.,,,,
Строительный инженер,Разработка конструкций и расчет несущих элементов зданий и сооружений.,Высшее техническое образование,"Официальное трудоустройство, полный соц. пакет","Знание программы AutoCAD, знание норм и правил строительства, отличные математические способности",Вакансия требует ответственного подхода к работе и ориентирована на долгосрочное сотрудничество.
Монтажник,Монтаж металлоконструкций и крыш.,"Опыт работы от 2х лет, наличие установщиков/монтажников платформы","Официальное трудоустройство, полный соц. пакет","Умение читать чертежи, опыт работы с грузоподъемным оборудованием.",Вакансия требует выполнения работы на высоте до 50 метров.
Строительный инженер,"Разработка и составление проектной документации, контроль за соответствием строительных работ проектной документации, проверка качества применяемых строительных материалов и конструкций.","Опыт работы в области проектирования и строительства от 3 лет, высшее техническое образование, хорошие знания в области строительного проектирования и соответствующей проектной документации.","График работы 5/2, официальное трудоустройство, социальный пакет.","Умение работать с программами AutoCAD, Revit, знание норм и правил строительства, навыки контроля и организации работы бригады строителей.",Требуется знание государственных норм и стандартов строительства.
Арматурщик,Выполнение работ по сборке и вязке арматурных сеток и плоских арматурных каркасов для зданий и сооружений в соответствии с проектной документацией.,"Опыт работы в сборке и вязке арматурных сеток и каркасов от 2 лет, знание основных технологий работы с арматурой, умение гнуть и резать арматурную сталь на различных станках.","График работы 5/2, официальное трудоустройство, социальный пакет.","Умение читать и понимать проектные чертежи, умение работать с ручными, электромеханическими и электрическими станками, стрессоустойчивость, аккуратность при работе с материалами.",Иметь практические знания в области безопасности труда и соответствующих норм и правил.
Инженер-строитель,"Составление отчетной документации, контроль за соблюдением технологических процессов строительства, проверка качества используемых строительных материалов.","Опыт работы в области строительства и проектирования зданий и сооружений от 3 лет, высшее техническое образование, знание основных строительных материалов и технологий работы с ними.","График работы 5/2, официальное трудоустройство, социальный пакет.","Умение работать с программами AutoCAD, ArchiCAD, знание норм и правил строительства, умение организовывать работу бригады строителей, коммуникабельность.",Требуется знание государственных норм и стандартов строительства.
Каменщик Вахта в мcк (питание+проживание) 60/30,- кладка кирпича; - проведение работ по облицовке фасадов; - работа в бригаде.,опыт работы в строительстве приветствуется; работа в бригаде;,продолжительность вахты 60/30 (продление вахты возможно);,умение кладки кирпича; облицовки фасадов;,"- Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождению медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
Арматурщик Вахта в г. Санкт-Петербург (питание+проживание) 60/30,- обработка арматуры; - монтаж арматурных конструкций; - работа в команде;,опыт работы в строительстве приветствуется; работа в бригаде;,продолжительность вахты 60/30 (продление вахты возможно);,умение обрабатывать арматуру; монтаж арматурных конструкций;,"- Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождении медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
Арматурщик Вахта в мcк (питание+проживание) 60/30,- установка арматуры; - проведение дефектоскопии; - работа в коллективе;,опыт работы в строительстве приветствуется; работа в бригаде;,продолжительность вахты 60/30 (продление вахты возможно);,умение устанавливать арматуру; проводить дефектоскопию;,"- Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождении медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
Арматурщик,"Укладка арматуры, монтаж и фиксация арматуры в соответствии с чертежами. Производство сварочных и монтажных работ. Работа на высоте.","Опыт работы от 1 года. Ответственность, внимательность, умение работать в коллективе.",График работы 5/2. Социальный пакет.,"Умение работать с инструментами, умение читать чертежи, опыт сварки.",Работа на строительных площадках. Очистных сооружениях.
Плотник,"Строительство домов, каркасных зданий, беседок и других сооружений из дерева. Изготовление элементов конструкций из дерева. Установка окон и дверей.","Опыт работы от 2 лет. Знание свойств дерева. Ответственность, внимательность, умение работать в коллективе.",График работы 5/2. Социальный пакет.,"Умение работать с деревянными конструкциями, опыт работы с инструментами, умение читать чертежи.",Работа на строительных площадках. Возможны командировки.
Архитектор,"Разработка архитектурных проектов для жилых и коммерческих зданий. Проектирование внешнего вида зданий, выбор строительных материалов. Работа с заказчиками.","Высшее образование по специальности Архитектура. Знание свойств строительных материалов. Ответственность, творческий подход к работе.",График работы 5/2. Социальный пакет.,"Умение работать с компьютерной графикой и программами для проектирования, знание законодательства в области строительства.",Работа в офисе и на строительных площадках. Командировки возможны.
Арматурщик,Вязка арматуры.,,,,
Прораб,"Организация и контроль строительных работ, координация работы бригады.","Опыт работы на строительных объектах, знание норм и правил в области строительства.",Условия будут обсуждаться с успешным кандидатом.,"Навыки работы с людьми, умение эффективно организовывать процессы.",
Жестянщик,"Укладка и крепление кровельных материалов (жесть, профнастил).","Опыт работы на кровельных работах, знание техники безопасности.","График работы сменный, выплаты по договоренности.","Навыки работы на высоте, умение работать быстро и качественно.",
Арматурщик,Выполнение работ по сборке и вязке арматурных сеток и плоских арматурных каркасов.,"Выполнение работ по гнутью и резке арматурной стали на ручных, электромеханических и электрических станках",,,
Инженер-строитель,Разработка проектной документации и сметной документации для строительства зданий и сооружений,"Определение необходимого объема строительных материалов и ресурсов, контроль за соблюдением проектных решений и строительных норм",,,
Раскладчик,Разборка и перемещение крупногабаритных конструкций из металла,"Навыки работы со специальным оборудованием, знание технологии монтажа и демонтажа конструкций",,,
Крановщик на строительной площадке Вахта в мcк (питание+проживание) 60/30,Вахта в город Москва. Обязанности: - оперирование краном на строительной площадке; ,- опыт работы крановщиком на строительной площадке приветствуется; - работа в бригаде,продолжительность вахты 60/30 (продление вахты возможно),оперирование краном,"Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
Арматурщик Вахта в mck (питание+проживание) 60/30,Вахта в город Москва. Обязанности: - укладка арматуры; ,- опыт работы арматурщиком приветствуется; - работа в бригаде,продолжительность вахты 60/30 (продление вахты возможно),укладка арматуры,"Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;"
Арматурщик в монтажной бригаде,Обязанности: - укладка арматуры; ,- опыт работы арматурщиком приветствуется; - работа в бригаде,Официальное трудоустройство; - ЗП в срок и без задержек;,укладка арматуры,"Питание, проживание, и проезд до объекта оплачивается самостоятельно - Возможность получить квалификационные удостоверения;"
Бетонщик Вахта спб г. Подпорожье,Требуется БЕТОНЩИК на крупнейший завод по производству железобетонных конструкций 3-4 разряда! Обязанности: Наложение бетона для заливки конструкции железобетонных изделий.,"Опыт работы от 1 года, наличие удостоверения (документы должны присутствовать + запись в трудовой книжке).","Работа вахтой от 45/60/90/120 смен. Трудоустройство и заселение в общежитие в день обращения. Бесплатное проживание в комфортном общежитии, постельное белье предоставляем. Питание 1 раз в день предоставляется на заводе. В общежитии есть кухня и все необходимое для приготовления пищи. Работа в закрытом теплом цехе. Удобный график работы ночь или день. Ставка за смену 3080 руб при графике 6/1 по 11 часов. Предоставляем час обеда + перерывы 10-15 мин.",,
Арматурщик Вахта спб г. Подпорожье,Требуется АРМАТУРЩИК на крупнейший завод по производству железобетонных конструкций 3-4 разряда! Обязанности: Вязка арматуры для заливки конструкции железобетонных изделий.,"Опыт работы от 1 года, наличие удостоверения (документы должны присутствовать + запись в трудовой книжке).","Работа вахтой от 45/60/90/120 смен. Трудоустройство и заселение в общежитие в день обращения. Бесплатное проживание в комфортном общежитии, постельное белье предоставляем. Питание 1 раз в день предоставляется на заводе. В общежитии есть кухня и все необходимое для приготовления пищи. Работа в закрытом теплом цехе. Удобный график работы ночь или день. Зарплата на руки 138 600 руб. при графике 6/1 по 11 часов. Предоставляем час обеда + перерывы 10-15 мин.",,
